,artist_name(s),artist_country,artist_home_city,visible_ethnic_minority,census_race_classification,artist_gender,canadian_content,artist_is_group,total_plays,alberta,british columbia,manitoba,new brunswick,nova scotia,ontario,quebec,artist_country_cdn,artist_country_int,artist_country_uk,artist_country_unknown,artist_country_us,visible_ethnic_minority_no,visible_ethnic_minority_unknown,visible_ethnic_minority_yes,artist_gender_female,artist_gender_male,artist_gender_mixed,artist_gender_unknown
1915,wrabeanz,cdn,"toronto, on",yes,mixed group,mixed,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,0,1,0
1916,guapo of the saints,cdn,"toronto, on",yes,mixed group,mixed,True,True,29,0.2413793103448276,0.06896551724137931,0.0,0.0,0.0,0.4482758620689655,0.2413793103448276,1,0,0,0,0,0,0,1,0,0,1,0
1917,lazarush,cdn,"edmonton, ab",yes,indian,male,True,False,10,0.4,0.3,0.0,0.0,0.0,0.3,0.0,1,0,0,0,0,0,0,1,0,1,0,0
1918,sole,us,"denver, co",no,white,male,False,False,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0
1919,indelible,cdn,"vancouver, bc",no,white,male,True,True,8,0.25,0.75,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0
1920,otem relik,us,"fort collins, co",no,white,male,False,False,3,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0,0,0,0,1,1,0,0,0,1,0,0
1921,dj o-face,us,"hartford, ct",no,white,male,False,False,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0
1922,tim fite,us,"new york, ny",no,white,male,False,False,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0
1923,j*midd,us,"kennesaw, ga",no,white,male,False,False,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0
1924,the 20/20 project,cdn,"toronto, on",yes,mixed group,male,True,False,11,0.36363636363636365,0.18181818181818182,0.0,0.0,0.0,0.45454545454545453,0.0,1,0,0,0,0,0,0,1,0,1,0,0
